availability,year,url,zip,shp,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize,detail1,detail2
石川県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_17_GML.zip,A19s-95_17_GML.zip,A19s_07_01_17.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
石川県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_17_GML.zip,A19s-95_17_GML.zip,A19s_07_02_17.shp,,,,,,,,,CP932,,4612,,都市基盤1,
石川県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_17_GML.zip,A19s-95_17_GML.zip,A19s_07_03_17.shp,,,,,,,,,CP932,,4612,,都市基盤2,
石川県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_17_GML.zip,A19s-95_17_GML.zip,A19s_07_04_17.shp,,,,,,,,,CP932,,4612,,産業,
静岡県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_22_GML.zip,A19s-10_22_GML.zip,A19s_22_01_22.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
静岡県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_22_GML.zip,A19s-10_22_GML.zip,A19s_22_02_22.shp,,,,,,,,,CP932,,4612,,都市基盤1,
静岡県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_22_GML.zip,A19s-10_22_GML.zip,A19s_22_03_22.shp,,,,,,,,,CP932,,4612,,都市基盤2,
静岡県 ,2010,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-10/A19s-10_22_GML.zip,A19s-10_22_GML.zip,A19s_22_04_22.shp,,,,,,,,,CP932,,4612,,産業,
静岡県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_22_GML.zip,A19s-05_22_GML.zip,A19s_17_01_22.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
静岡県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_22_GML.zip,A19s-05_22_GML.zip,A19s_17_02_22.shp,,,,,,,,,CP932,,4612,,都市基盤1,
静岡県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_22_GML.zip,A19s-05_22_GML.zip,A19s_17_03_22.shp,,,,,,,,,CP932,,4612,,都市基盤2,
静岡県 ,2005,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-05/A19s-05_22_GML.zip,A19s-05_22_GML.zip,A19s_17_04_22.shp,,,,,,,,,CP932,,4612,,産業,
静岡県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_22_GML.zip,A19s-00_22_GML.zip,A19s_12_01_22.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
静岡県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_22_GML.zip,A19s-00_22_GML.zip,A19s_12_02_22.shp,,,,,,,,,CP932,,4612,,都市基盤1,
静岡県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_22_GML.zip,A19s-00_22_GML.zip,A19s_12_03_22.shp,,,,,,,,,CP932,,4612,,都市基盤2,
静岡県 ,2000,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-00/A19s-00_22_GML.zip,A19s-00_22_GML.zip,A19s_12_04_22.shp,,,,,,,,,CP932,,4612,,産業,
静岡県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_22_GML.zip,A19s-95_22_GML.zip,A19s_07_01_22.shp,,,,,,,,,CP932,,4612,,人口・世帯数,
静岡県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_22_GML.zip,A19s-95_22_GML.zip,A19s_07_02_22.shp,,,,,,,,,CP932,,4612,,都市基盤1,
静岡県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_22_GML.zip,A19s-95_22_GML.zip,A19s_07_03_22.shp,,,,,,,,,CP932,,4612,,都市基盤2,
静岡県 ,1995,https://nlftp.mlit.go.jp/ksj/gml/data/A19s/A19s-95/A19s-95_22_GML.zip,A19s-95_22_GML.zip,A19s_07_04_22.shp,,,,,,,,,CP932,,4612,,産業,
