name_j,availability,code_map,type_muni,name_e,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg
自然保全地域（原生自然環境保全地域）,yes,A11,,,2015,https://nlftp.mlit.go.jp/ksj/gml/data/A11/A11-15/A11-15_code_pref_GML.zip,A11-15_code_pref_GML.zip,a001code_pref0020160215.shp,,A11-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A11.html,,,,,,,CP932,A11-15.qml,4612
自然保全地域（特別地区）,yes,A11,,,2015,https://nlftp.mlit.go.jp/ksj/gml/data/A11/A11-15/A11-15_code_pref_GML.zip,A11-15_code_pref_GML.zip,a001code_pref0020160216.shp,,A11-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A11.html,,,,,,,CP932,A11-16.qml,4612
鳥獣保護区,yes,A15,,Wildlife Preserve,2015,https://nlftp.mlit.go.jp/ksj/gml/data/A15/A15-15/A15-15_code_pref_GML.zip,A15-15_code_pref_GML.zip,A15_15_code_pref_WildlifePreserve.shp,,A15-15_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A15.html,,,,,,,CP932,A15.qml,6668
4. 交通,,,,,,,,,,,,,,,,,,,,
【交通】,,,,,,,,,,,,,,,,,,,,
高速道路時系列（路線区間）,yes,N06,single,,2022,https://nlftp.mlit.go.jp/ksj/gml/data/N06/N06-22/N06-22_GML.zip,N06-22_GML.zip,N06-22_HighwaySection.shp,,N06-22_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N06-2022.html,,,,,,,CP932,,6668
高速道路時系列（接合部）,yes,N06,single,,2022,https://nlftp.mlit.go.jp/ksj/gml/data/N06/N06-22/N06-22_GML.zip,N06-22_GML.zip,N06-22_Joint.shp,,N06-22_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N06-2022.html,,,,,,,CP932,,6668
緊急輸送道路,yes,N10,,,2020,https://nlftp.mlit.go.jp/ksj/gml/data/N10/N10-20/N10-20_code_pref_GML.zip,N10-20_code_pref_GML.zip,N10-20_code_pref.shp,,N10-20_code_pref,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N10-2020.html,,,,,,,CP932,N10.qml,6668
重要物流道路,yes,N12,,,2021,https://nlftp.mlit.go.jp/ksj/gml/data/N12/N12-21/N12-21_code_pref_GML.zip,N12-21_code_pref_GML.zip,Shapefile/N12-21_code_pref.shp,,N12-21_code_pref_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N12-2021.html,,,,,,,CP932,N12.qml,6668
道路密度・道路延長メッシュ,,N04,,,,,,,,,,,,,,,,,,
バス停留所,yes,P11,,Bus Stop,2022,https://nlftp.mlit.go.jp/ksj/gml/data/P11/P11-22/P11-22_code_pref_SHP.zip,P11-22_code_pref_SHP.zip,,,P11-22_code_pref_SHP,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-P11-2022.html,,,,,,,CP932,P11.qml,6668
バスルート,yes,N07,,Bus Route,2022,https://nlftp.mlit.go.jp/ksj/gml/data/N07/N07-22/N07-22_code_pref_SHP.zip,N07-22_code_pref_SHP.zip,,,N07-22_code_pref_SHP,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N07-2022.html,,,,,,,CP932,N07.qml,6668
鉄道（駅）,yes,N02,single,Railway (Station),2022,https://nlftp.mlit.go.jp/ksj/gml/data/N02/N02-22/N02-22_GML.zip,N02-22_Station.shp,,,N02-22_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2022.html,,,,,,,CP932,N02-Station.qml,6668
鉄道（鉄道区間）,yes,N02,single,Railway (Railroad Section),2022,https://nlftp.mlit.go.jp/ksj/gml/data/N02/N02-22/N02-22_GML.zip,N02-22_RailroadSection.shp,,,N02-22_GML,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-N02-2022.html,,,,,,,CP932,N02-RailroadSection.qml,6668
鉄道時系列（ライン）（ポイント）,,N05,,,,,,,,,,,,,,,,,,
駅別乗降客数（ライン）,,S12,,,,,,,,,,,,,,,,,,
交通流動量 駅別乗降数（ポリゴン）（ポイント）,,S05-c,,,,,,,,,,,,,,,,,,
空港（ポリゴン）（ポイント）,,C28,,,,,,,,,,,,,,,,,,
空港時系列（ポリゴン）（ポイント）,,N08,,,,,,,,,,,,,,,,,,
空港間流通量（ライン）,,S10b,,,,,,,,,,,,,,,,,,
ヘリポート（ポイント）,,N11,,,,,,,,,,,,,,,,,,
港湾（ライン）（ポイント）,,C02,,,,,,,,,,,,,,,,,,
漁港（ライン）（ポイント）,,C09,,,,,,,,,,,,,,,,,,
