name_j,code_map,name_e,year,url,zip,shp,altdir,qml
訪問リハビリテーション,LTCI_140,Home-Visit Rehabilitation,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_140_all_20250106192523.csv,jigyosho_140_all_20250106192523.csv,jigyosho_140_all_20250106192523.csv,,
通所介護,LTCI_150,Day Care,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_150_all_20250106192621.csv,jigyosho_150_all_20250106192621.csv,jigyosho_150_all_20250106192621.csv,,
通所介護（療養通所介護）,LTCI_155,Medical Day Care,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_155_all_20250106192624.csv,jigyosho_155_all_20250106192624.csv,jigyosho_155_all_20250106192624.csv,,
通所リハビリテーション,LTCI_160,Day Rehabilitation,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_160_all_20250106192635.csv,jigyosho_160_all_20250106192635.csv,jigyosho_160_all_20250106192635.csv,,
福祉用具貸与,LTCI_170,Welfare Equipment Rental,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_170_all_20250106192644.csv,jigyosho_170_all_20250106192644.csv,jigyosho_170_all_20250106192644.csv,,
短期入所生活介護,LTCI_210,Short-Stay Residential Care,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_210_all_20250106192715.csv,jigyosho_210_all_20250106192715.csv,jigyosho_210_all_20250106192715.csv,,
短期入所療養介護（介護老人保健施設）,LTCI_220,Short-Stay Medical Care (Geriatric Health Services Facility),2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_220_all_20250106192722.csv,jigyosho_220_all_20250106192722.csv,jigyosho_220_all_20250106192722.csv,,
短期入所療養介護（療養病床を有する病院等）,LTCI_230,Short-Stay Medical Care (Hospital with Long-Term Care Beds),2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_230_all_20250106192725.csv,jigyosho_230_all_20250106192725.csv,jigyosho_230_all_20250106192725.csv,,
短期入所療養介護（介護医療院）,LTCI_551,Short-Stay Medical Care (Integrated Facility for Medical and Long-Term Care),2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_551_all_20250106193108.csv,jigyosho_551_all_20250106193108.csv,jigyosho_551_all_20250106193108.csv,,
認知症対応型共同生活介護,LTCI_320,Group Home for Persons with Dementia,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_320_all_20250106192745.csv,jigyosho_320_all_20250106192745.csv,jigyosho_320_all_20250106192745.csv,,
特定施設入居者生活介護（有料老人ホーム）,LTCI_331,Residential Care in Fee-Based Nursing Home,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_331_all_20250106192756.csv,jigyosho_331_all_20250106192756.csv,jigyosho_331_all_20250106192756.csv,,
特定施設入居者生活介護（軽費老人ホーム）,LTCI_332,Residential Care in Low-Cost Elderly Home,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_332_all_20250106192759.csv,jigyosho_332_all_20250106192759.csv,jigyosho_332_all_20250106192759.csv,,
特定施設入居者生活介護（サービス付き高齢者向け住宅）,LTCI_334,Residential Care in Service-Integrated Housing for Older Persons,2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_334_all_20250106192803.csv,jigyosho_334_all_20250106192803.csv,jigyosho_334_all_20250106192803.csv,,
特定施設入居者生活介護（有料老人ホーム・外部サービス利用型）,LTCI_335,Residential Care in Fee-Based Nursing Home (External Service Type),2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_335_all_20250106192806.csv,jigyosho_335_all_20250106192806.csv,jigyosho_335_all_20250106192806.csv,,
特定施設入居者生活介護（軽費老人ホーム・外部サービス利用型）,LTCI_336,Residential Care in Low-Cost Elderly Home (External Service Type),2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_336_all_20250106192808.csv,jigyosho_336_all_20250106192808.csv,jigyosho_336_all_20250106192808.csv,,
特定施設入居者生活介護（サービス付き高齢者向け住宅・外部サービス利用型）,LTCI_337,Residential Care in Service-Integrated Housing for Older Persons (External Service Type),2024年12月末時点,https://www.mhlw.go.jp/content/12300000/jigyosho_337_all_20250106192811.csv,jigyosho_337_all_20250106192811.csv,jigyosho_337_all_20250106192811.csv,,
