code_dantai,code_region,code_pref,code_muni,name_pref_j,name_muni_j,name_muni_kana,X,Y,name_pref_e,name_muni_e,,,,,
15610,81,1,561,北海道,興部町,ｵｺｯﾍﾟﾁｮｳ,143.123699,44.469874,Hokkaido,Okoppe,,,,,
15628,81,1,562,北海道,西興部村,ﾆｼｵｺｯﾍﾟﾑﾗ,142.944445,44.328833,Hokkaido,Nishiokoppe,,,,,
15636,81,1,563,北海道,雄武町,ｵｳﾑﾁｮｳ,142.961863,44.582482,Hokkaido,Omu,,,,,
15644,81,1,564,北海道,大空町,ｵｵｿﾞﾗﾁｮｳ,144.172473,43.911858,Hokkaido,Ozora,,,,,
15717,81,1,571,北海道,豊浦町,ﾄﾖｳﾗﾁｮｳ,140.711815,42.583464,Hokkaido,Toyoura,,,,,
15750,81,1,575,北海道,壮瞥町,ｿｳﾍﾞﾂﾁｮｳ,140.885472,42.552556,Hokkaido,Sobetsu,,,,,
15784,81,1,578,北海道,白老町,ｼﾗｵｲﾁｮｳ,141.355861,42.551259,Hokkaido,Shiraoi,,,,,
15814,81,1,581,北海道,厚真町,ｱﾂﾏﾁｮｳ,141.877841,42.723566,Hokkaido,Atsuma,,,,,
15849,81,1,584,北海道,洞爺湖町,ﾄｳﾔｺﾁｮｳ,140.764128,42.551223,Hokkaido,Toyako,,,,,
15857,81,1,585,北海道,安平町,ｱﾋﾞﾗﾁｮｳ,141.818047,42.762798,Hokkaido,Abira,,,,,
15865,81,1,586,北海道,むかわ町,ﾑｶﾜﾁｮｳ,141.926761,42.574741,Hokkaido,Mukawa,,,,,
16012,81,1,601,北海道,日高町,ﾋﾀﾞｶﾁｮｳ,142.074379,42.480318,Hokkaido,Hidaka,,,,,
16021,81,1,602,北海道,平取町,ﾋﾞﾗﾄﾘﾁｮｳ,142.128525,42.585098,Hokkaido,Biratori,,,,,
16047,81,1,604,北海道,新冠町,ﾆｲｶｯﾌﾟﾁｮｳ,142.318315,42.362417,Hokkaido,Niikappu,,,,,
16071,81,1,607,北海道,浦河町,ｳﾗｶﾜﾁｮｳ,142.768213,42.168355,Hokkaido,Urakawa,,,,,
16080,81,1,608,北海道,様似町,ｻﾏﾆﾁｮｳ,142.933797,42.127737,Hokkaido,Samani,,,,,
16098,81,1,609,北海道,えりも町,ｴﾘﾓﾁｮｳ,143.148348,42.016298,Hokkaido,Erimo,,,,,
16101,81,1,610,北海道,新ひだか町,ｼﾝﾋﾀﾞｶﾁｮｳ,,,Hokkaido,Shinhidaka,,,,,
16314,81,1,631,北海道,音更町,ｵﾄﾌｹﾁｮｳ,143.197869,42.994115,Hokkaido,Otofuke,,,,,
16322,81,1,632,北海道,士幌町,ｼﾎﾛﾁｮｳ,143.241344,43.168047,Hokkaido,Shihoro,,,,,
16331,81,1,633,北海道,上士幌町,ｶﾐｼﾎﾛﾁｮｳ,143.296243,43.232615,Hokkaido,Kamishihoro,,,,,
16349,81,1,634,北海道,鹿追町,ｼｶｵｲﾁｮｳ,142.989028,43.098876,Hokkaido,Shikaoi,,,,,
16357,81,1,635,北海道,新得町,ｼﾝﾄｸﾁｮｳ,142.838822,43.079741,Hokkaido,Shintoku,,,,,
16365,81,1,636,北海道,清水町,ｼﾐｽﾞﾁｮｳ,142.884568,43.011423,Hokkaido,Shimizu,,,,,
16373,81,1,637,北海道,芽室町,ﾒﾑﾛﾁｮｳ,143.050807,42.91189,Hokkaido,Memuro,,,,,
16381,81,1,638,北海道,中札内村,ﾅｶｻﾂﾅｲﾑﾗ,143.132443,42.697611,Hokkaido,Nakasatsunai,,,,,
16390,81,1,639,北海道,更別村,ｻﾗﾍﾞﾂﾑﾗ,143.187814,42.650415,Hokkaido,Sarabetsu,,,,,
16411,81,1,641,北海道,大樹町,ﾀｲｷﾁｮｳ,143.27891,42.497525,Hokkaido,Taiki,,,,,
16420,81,1,642,北海道,広尾町,ﾋﾛｵﾁｮｳ,143.311498,42.285841,Hokkaido,Hiroo,,,,,
16438,81,1,643,北海道,幕別町,ﾏｸﾍﾞﾂﾁｮｳ,143.356085,42.908198,Hokkaido,Makubetsu,,,,,
16446,81,1,644,北海道,池田町,ｲｹﾀﾞﾁｮｳ,143.448472,42.92898,Hokkaido,Ikeda,,,,,
16454,81,1,645,北海道,豊頃町,ﾄﾖｺﾛﾁｮｳ,143.5059,42.801023,Hokkaido,Toyokoro,,,,,
16462,81,1,646,北海道,本別町,ﾎﾝﾍﾞﾂﾁｮｳ,143.610962,43.124615,Hokkaido,Honbetsu,,,,,
16471,81,1,647,北海道,足寄町,ｱｼｮﾛﾁｮｳ,143.55393,43.244786,Hokkaido,Ashoro,,,,,
16489,81,1,648,北海道,陸別町,ﾘｸﾍﾞﾂﾁｮｳ,143.747305,43.468914,Hokkaido,Rikubetsu,,,,,
16497,81,1,649,北海道,浦幌町,ｳﾗﾎﾛﾁｮｳ,143.658581,42.808947,Hokkaido,Urahoro,,,,,
16616,81,1,661,北海道,釧路町,ｸｼﾛﾁｮｳ,144.466081,42.996124,Hokkaido,Kushiro,,,,,
16624,81,1,662,北海道,厚岸町,ｱｯｹｼﾁｮｳ,144.847443,43.051951,Hokkaido,Akkeshi,,,,,
16632,81,1,663,北海道,浜中町,ﾊﾏﾅｶﾁｮｳ,145.129391,43.077087,Hokkaido,Hamanaka,,,,,
16641,81,1,664,北海道,標茶町,ｼﾍﾞﾁｬﾁｮｳ,144.600665,43.303337,Hokkaido,Shibecha,,,,,
16659,81,1,665,北海道,弟子屈町,ﾃｼｶｶﾞﾁｮｳ,144.459349,43.485223,Hokkaido,Teshikaga,,,,,
16675,81,1,667,北海道,鶴居村,ﾂﾙｲﾑﾗ,144.321185,43.23016,Hokkaido,Tsurui,,,,,
16683,81,1,668,北海道,白糠町,ｼﾗﾇｶﾁｮｳ,144.071805,42.956161,Hokkaido,Shiranuka,,,,,
16918,81,1,691,北海道,別海町,ﾍﾞﾂｶｲﾁｮｳ,145.117341,43.39399,Hokkaido,Betsukai,,,,,
16926,81,1,692,北海道,中標津町,ﾅｶｼﾍﾞﾂﾁｮｳ,144.971504,43.555191,Hokkaido,Nakashibetsu,,,,,
16934,81,1,693,北海道,標津町,ｼﾍﾞﾂﾁｮｳ,145.131345,43.661309,Hokkaido,Shibetsu,,,,,
16942,81,1,694,北海道,羅臼町,ﾗｳｽﾁｮｳ,145.189532,44.021953,Hokkaido,Rausu,,,,,
16951,81,1,695,北海道,色丹村,ｼｺﾀﾝﾑﾗ,,,Hokkaido,Shikotan,,,,,
16969,81,1,696,北海道,泊村,ﾄﾏﾘﾑﾗ,140.498857,43.063212,Hokkaido,Tomari,,,,,
16977,81,1,697,北海道,留夜別村,ﾙﾔﾍﾞﾂﾑﾗ,,,Hokkaido,Ruyabetsu,,,,,
16985,81,1,698,北海道,留別村,ﾙﾍﾞﾂﾑﾗ,,,Hokkaido,Rubetsu,,,,,
16993,81,1,699,北海道,紗那村,ｼｬﾅﾑﾗ,,,Hokkaido,Shanamura,,,,,
17001,81,1,700,北海道,蘂取村,ｼﾍﾞﾄﾛﾑﾗ,,,Hokkaido,Shibetoro,,,,,
20001,82,2,0,青森県,,,,,Aomori,,,,,,
22012,82,2,201,青森県,青森市,ｱｵﾓﾘｼ,140.747324928239,40.822353531124,Aomori,Aomori,,,,,
22021,82,2,202,青森県,弘前市,ﾋﾛｻｷｼ,140.463126142842,40.6031412426252,Aomori,Hirosaki,,,,,
22039,82,2,203,青森県,八戸市,ﾊﾁﾉﾍｼ,141.488625176786,40.5124428153156,Aomori,Hachinohe,,,,,
22047,82,2,204,青森県,黒石市,ｸﾛｲｼｼ,140.594552842811,40.6426032184153,Aomori,Kuroishi,,,,,
22055,82,2,205,青森県,五所川原市,ｺﾞｼｮｶﾞﾜﾗｼ,140.446154344892,40.8077033929257,Aomori,Goshogawara,,,,,
22063,82,2,206,青森県,十和田市,ﾄﾜﾀﾞｼ,141.205915082863,40.6126973632847,Aomori,Towada,,,,,
22071,82,2,207,青森県,三沢市,ﾐｻﾜｼ,141.369097235906,40.6830728347042,Aomori,Misawa,,,,,
22080,82,2,208,青森県,むつ市,ﾑﾂｼ,141.183176882307,41.2928316601743,Aomori,Mutsu,,,,,
22098,82,2,209,青森県,つがる市,ﾂｶﾞﾙｼ,140.380200003643,40.8088316711221,Aomori,Tsugaru,,,,,
22101,82,2,210,青森県,平川市,ﾋﾗｶﾜｼ,140.566512193689,40.5841090227117,Aomori,Hirakawa,,,,,
23019,82,2,301,青森県,平内町,ﾋﾗﾅｲﾏﾁ,140.955887985878,40.9260186380643,Aomori,Hiranai,,,,,
23035,82,2,303,青森県,今別町,ｲﾏﾍﾞﾂﾏﾁ,140.481613935509,41.181871639578,Aomori,Imabetsu,,,,,
23043,82,2,304,青森県,蓬田村,ﾖﾓｷﾞﾀﾑﾗ,140.656057652805,40.9717750737437,Aomori,Yomogita,,,,,
23078,82,2,307,青森県,外ヶ浜町,ｿﾄｶﾞﾊﾏﾏﾁ,140.632247067671,41.0431552477353,Aomori,Sotogahama,,,,,
23213,82,2,321,青森県,鰺ヶ沢町,ｱｼﾞｶﾞｻﾜﾏﾁ,140.23382816419,40.7829760280915,Aomori,Ajigasawa,,,,,
23230,82,2,323,青森県,深浦町,ﾌｶｳﾗﾏﾁ,139.927436607825,40.6478719029137,Aomori,Fukaura,,,,,
23434,82,2,343,青森県,西目屋村,ﾆｼﾒﾔﾑﾗ,140.297169707352,40.5775833066837,Aomori,Nishimeyamu,,,,,
23612,82,2,361,青森県,藤崎町,ﾌｼﾞｻｷﾏﾁ,140.503275614765,40.6565574002693,Aomori,Fujisaki,,,,,
23621,82,2,362,青森県,大鰐町,ｵｵﾜﾆﾏﾁ,140.567884542722,40.5183508279544,Aomori,Owani,,,,,
23671,82,2,367,青森県,田舎館村,ｲﾅｶﾀﾞﾃﾑﾗ,140.550203910963,40.6312542019674,Aomori,Inakadate,,,,,
