availability,code_map,type_muni,year,url,zip,shp,geojson,altdir,source,col,levels,labels,palette,muni_column,muni_type,encoding,qml,epsg,filesize
京都 ,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
大阪,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
兵庫 ,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
奈良,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
和歌山,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
鳥取,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
島根,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
岡山,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
広島,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
山口,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
徳島,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
愛媛,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
高知,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
福岡,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
長崎,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
熊本,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
大分,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
宮崎,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
鹿児島,A56,,2025,https://nlftp.mlit.go.jp/ksj/gml/data/{code_map}/{code_map}-{year2digit}/{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}_GML.zip,{code_map}-{year2digit}_{code_pref}.shp,{code_map}-{year2digit}_{code_pref}.geojson,,https://nlftp.mlit.go.jp/ksj/gml/datalist/KsjTmplt-A56-2025.html,,,,,,,CP932,C23.qml,6668,
