code_pref,code_muni,name_muni_j,code_mesh1,name_muni_e
3,215,奥州市,5841,Oshu
3,216,滝沢市,5941,Takizawa
3,301,雫石町,5940,Shizukuishi
3,301,雫石町,5941,Shizukuishi
3,302,葛巻町,5941,Kuzumaki
3,302,葛巻町,6041,Kuzumaki
3,303,岩手町,5941,Iwate
3,303,岩手町,6041,Iwate
3,321,紫波町,5940,Shiwa
3,321,紫波町,5941,Shiwa
3,322,矢巾町,5941,Yahaba
3,366,西和賀町,5840,Nishiwaga
3,366,西和賀町,5940,Nishiwaga
3,381,金ケ崎町,5840,Kanegasaki
3,381,金ケ崎町,5841,Kanegasaki
3,402,平泉町,5841,Hiraizumi
3,441,住田町,5841,Sumita
3,461,大槌町,5941,Otsuchi
3,482,山田町,5941,Yamada
3,482,山田町,5942,Yamada
3,483,岩泉町,5941,Iwaizumi
3,483,岩泉町,6041,Iwaizumi
3,484,田野畑村,5941,Tanohara
3,485,普代村,5941,Fudai
3,485,普代村,6041,Fudai
3,501,軽米町,6041,Karumai
3,503,野田村,6041,Noda
3,506,九戸村,6041,Kunohe
3,507,洋野町,6041,Hirono
3,524,一戸町,6041,Ichinohe
4,100,仙台市,5740,Sendai
4,100,仙台市,5741,Sendai
4,101,仙台市青葉区,5740,"Aoba, Sendai"
4,102,仙台市宮城野区,5740,"Miyagino, Sendai"
4,102,仙台市宮城野区,5741,"Miyagino, Sendai"
4,103,仙台市若林区,5740,"Wakabayashi, Sendai"
4,104,仙台市太白区,5740,"Taihaku, Sendai"
4,105,仙台市泉区,5740,"Izumi, Sendai"
4,202,石巻市,5741,Ishinomaki
4,203,塩竈市,5740,Shiogama
4,203,塩竈市,5741,Shiogama
4,205,気仙沼市,5841,Kesennuma
4,206,白石市,5640,Shiroishi
4,206,白石市,5740,Shiroishi
4,207,名取市,5740,Natori
4,208,角田市,5640,Kakuda
4,208,角田市,5740,Kakuda
4,209,多賀城市,5740,Tagajo
4,209,多賀城市,5741,Tagajo
4,211,岩沼市,5740,Iwanuma
4,212,登米市,5741,Tome
4,212,登米市,5841,Tome
4,213,栗原市,5740,Kurihara
4,213,栗原市,5741,Kurihara
4,213,栗原市,5840,Kurihara
4,213,栗原市,5841,Kurihara
4,214,東松島市,5741,Higashimatsushima
4,215,大崎市,5740,Osaki
4,215,大崎市,5741,Osaki
4,215,大崎市,5840,Osaki
4,216,富谷市,5740,Tomiya
4,301,蔵王町,5740,Zao
4,302,七ヶ宿町,5640,Shichikashuku
4,302,七ヶ宿町,5740,Shichikashuku
4,321,大河原町,5740,Ogawara
4,322,村田町,5740,Murata
4,323,柴田町,5740,Shibata
4,324,川崎町,5740,Kawasaki (Miyagi)
4,341,丸森町,5640,Marumori
4,361,亘理町,5640,Watari
4,361,亘理町,5740,Watari
4,362,山元町,5640,Yamamoto
4,362,山元町,5740,Yamamoto
4,401,松島町,5741,Matsushima
4,404,七ヶ浜町,5741,Shichigahama
4,406,利府町,5740,Rifu
4,406,利府町,5741,Rifu
4,421,大和町,5740,Taiwa
4,422,大郷町,5740,Osato
4,422,大郷町,5741,Osato
4,424,大衡村,5740,Ohira
4,444,色麻町,5740,Shikama
4,445,加美町,5740,Kami
4,445,加美町,5840,Kami
4,501,涌谷町,5741,Wakuya
4,505,美里町,5740,Misato
4,505,美里町,5741,Misato
4,581,女川町,5741,Onagawa
4,606,南三陸町,5741,Minamisanriku
4,606,南三陸町,5841,Minamisanriku
5,201,秋田市,5940,Akita
5,202,能代市,6039,Noshiro
5,202,能代市,6040,Noshiro
5,203,横手市,5840,Yokote
5,203,横手市,5940,Yokote
5,204,大館市,6040,Odate
5,206,男鹿市,5939,Ogawara
5,206,男鹿市,6039,Ogawara
5,207,湯沢市,5840,Yuzawa
5,209,鹿角市,5940,Kazuno
5,209,鹿角市,6040,Kazuno
5,210,由利本荘市,5839,Yurihonjo
5,210,由利本荘市,5840,Yurihonjo
5,210,由利本荘市,5939,Yurihonjo
5,210,由利本荘市,5940,Yurihonjo
5,211,潟上市,5939,Katagami
5,211,潟上市,5940,Katagami
5,212,大仙市,5940,Daisen
5,213,北秋田市,5940,Kitaakita
